
(a,1,1562175260000)
(a,1,1562175280000)
(c,1,1562175300000)
(b,1,1562175320000)
(a,1,1562175340000)
(a,1,1562175360000)
(b,1,1562175380000)
(c,1,1562175400000)
(c,1,1562175420000)
(c,1,1562175440000)
(c,1,1562175460000)
(a,1,1562175480000)
(a,1,1562175500000)
(c,1,1562175520000)
(b,1,1562175540000)
(c,1,1562175560000)
(c,1,1562175580000)
(a,1,1562175600000)
(b,1,1562175620000)
(c,1,1562175640000)
(c,1,1562175660000)
(c,1,1562175680000)
(a,1,1562175700000)
(b,1,1562175720000)
(a,1,1562175740000)
(c,1,1562175760000)
(b,1,1562175780000)
(c,1,1562175800000)
(a,1,1562175820000)
(a,1,1562175840000)
(c,1,1562175860000)
(a,1,1562175880000)
(b,1,1562175900000)
(a,1,1562175920000)
(a,1,1562175940000)
(a,1,1562175960000)
(a,1,1562175980000)
(c,1,1562176000000)
(a,1,1562176020000)
(c,1,1562176040000)
(a,1,1562176060000)
(a,1,1562176080000)
(a,1,1562176100000)
(c,1,1562176120000)
(b,1,1562176140000)
(b,1,1562176160000)
(c,1,1562176180000)
(c,1,1562176200000)
(b,1,1562176220000)
(c,1,1562176240000)
(b,1,1562176260000)
(a,1,1562176280000)
(a,1,1562176300000)
(b,1,1562176320000)
(b,1,1562176340000)
(a,1,1562176360000)
(c,1,1562176380000)
(b,1,1562176400000)
(c,1,1562176420000)
(b,1,1562176440000)
(a,1,1562176460000)
(c,1,1562176480000)
(b,1,1562176500000)
(b,1,1562176520000)
(c,1,1562176540000)
(b,1,1562176560000)
(a,1,1562176580000)
(b,1,1562176600000)
(c,1,1562176620000)
(a,1,1562176640000)
(a,1,1562176660000)
(c,1,1562176680000)
(a,1,1562176700000)
(a,1,1562176720000)
(b,1,1562176740000)
(b,1,1562176760000)
(a,1,1562176780000)
(c,1,1562176800000)
(a,1,1562176820000)
(b,1,1562176840000)
(b,1,1562176860000)
(c,1,1562176880000)
(b,1,1562176900000)
(c,1,1562176920000)
(c,1,1562176940000)
(a,1,1562176960000)
(a,1,1562176980000)
(c,1,1562177000000)
(b,1,1562177020000)
(a,1,1562177040000)
(a,1,1562177060000)
(a,1,1562177080000)
(b,1,1562177100000)
(b,1,1562177120000)
(b,1,1562177140000)
(a,1,1562177160000)
(a,1,1562177180000)
(b,1,1562177200000)
(b,1,1562177220000)
(b,1,1562177240000)
